ROI;Area;Network;Coor
26;R_PCV;Dorsal-atten;185.286
139;R_TPOJ2;Dorsal-atten;189.296
140;R_TPOJ3;Dorsal-atten;189.379
206;L_PCV;Dorsal-atten;178.718
207;L_STV;Dorsal-atten;17.754
319;L_TPOJ2;Dorsal-atten;179.203
320;L_TPOJ3;Dorsal-atten;177.318
13;R_RSC;Frontopariet;231.169
14;R_POS2;Frontopariet;200.603
28;R_7Pm;Frontopariet;18.366
62;R_8BM;Frontopariet;169.748
72;R_8C;Frontopariet;178.028
76;R_a47r;Frontopariet;164.649
79;R_IFJp;Frontopariet;184.533
81;R_IFSa;Frontopariet;171.813
82;R_p9-46v;Frontopariet;1.728
84;R_a9-46v;Frontopariet;168.426
88;R_a10p;Frontopariet;165.268
90;R_11l;Frontopariet;163.566
91;R_13l;Frontopariet;171.313
96;R_i6-8;Frontopariet;175.735
97;R_s6-8;Frontopariet;168.218
110;R_AVI;Frontopariet;174.283
132;R_TE1p;Frontopariet;171.958
143;R_IP2;Frontopariet;186.375
144;R_IP1;Frontopariet;191.046
148;R_PFm;Frontopariet;179.174
169;R_p10p;Frontopariet;168.871
170;R_p47r;Frontopariet;16.651
193;L_RSC;Frontopariet;223.551
194;L_POS2;Frontopariet;190.125
208;L_7Pm;Frontopariet;177.028
237;L_33pr;Frontopariet;175.301
241;L_d32;Frontopariet;172.663
242;L_8BM;Frontopariet;174.624
252;L_8C;Frontopariet;18.944
253;L_44;Frontopariet;18.768
256;L_a47r;Frontopariet;177.219
259;L_IFJp;Frontopariet;194.169
260;L_IFSp;Frontopariet;196.545
262;L_p9-46v;Frontopariet;187.476
264;L_a9-46v;Frontopariet;184.291
268;L_a10p;Frontopariet;178.872
270;L_11l;Frontopariet;17.338
271;L_13l;Frontopariet;178.041
272;L_OFC;Frontopariet;169.983
276;L_i6-8;Frontopariet;183.927
277;L_s6-8;Frontopariet;174.308
290;L_AVI;Frontopariet;179.861
312;L_TE1p;Frontopariet;166.441
323;L_IP2;Frontopariet;182.142
324;L_IP1;Frontopariet;180.395
328;L_PFm;Frontopariet;171.462
341;L_31a;Frontopariet;177.241
349;L_p10p;Frontopariet;181.126
350;L_p47r;Frontopariet;183.928
356;L_TE1m;Frontopariet;174.175